"ID_0","ID_1","altitude","DayTemp_const_term","EVI_const_term","MIR_const_term","NightTemp_const_term","RFE_const_term","DayTemp_Re0","EVI_Re0","MIR_Re0","NightTemp_Re0","RFE_Re0","DayTemp_Im0","EVI_Im0","MIR_Im0","NightTemp_Im0","RFE_Im0","DayTemp_Re1","EVI_Re1","MIR_Re1","NightTemp_Re1","RFE_Re1","DayTemp_Im1","EVI_Im1","MIR_Im1","NightTemp_Im1","RFE_Im1","travel_time","TSI","aedes_gen","population","Shape_Area","log_pop_den","birth_rate","mean_age","sd_age"
1,29,1655.0889,13881.28087,58.13295969,138.3008135,1751.212079,311.7410717,-5024.906595,-11.40762524,-18.03003285,-2925.472369,-47.66560921,-1194.133002,5.061751104,-9.226064943,-467.1277661,128.7652892,-612.4939636,-3.692152293,-6.553688462,-168.3077493,-86.37839882,23.26654988,-6.38488755,-1.797967238,-57.6550261,-155.4991978,299.4843531,12964.65058,0,301710,11287.1531317774,3.32252890709882,0.0366476049929287,21.40954928365,17.3190750193979
1,30,1442.229773,14532.83513,58.10587407,129.5596703,2312.914148,277.5146717,-5225.671639,-12.35707797,-18.95587196,-2859.012597,-17.87156409,-1223.468558,7.357631631,-11.48089168,-412.1123178,95.24934892,-531.9618041,-6.221587037,-5.225531765,-136.047558,-92.31589183,-54.54325188,-5.198085405,-1.975073734,-77.08845368,-125.6277222,370.3198284,14096.81023,0,476571,16035.1164177895,3.42492880886178,0.0366476049929287,21.40954928365,17.3190750193979
1,31,1035.452996,13848.70898,68.72121757,106.2744872,3360.358941,387.9102083,-4612.344738,-18.40464982,-14.02725938,-3086.04081,-83.2423726,-1032.322641,6.96438763,-8.771399248,-541.201782,139.0471176,-617.7712089,-8.004604904,-5.261773115,-168.9127905,-80.95096783,-74.31993336,-5.090282424,-0.33754066,-77.07509996,-165.0057105,312.0105149,18000.92667,0,859692,12360.6872626622,4.2563287889975,0.0366476049929287,21.40954928365,17.3190750193979
1,32,1669.69908,16200.52471,56.12359083,144.2174924,3965.42134,188.4092996,-4699.212368,-6.169109271,-13.26225865,-3109.352776,13.40360795,-908.1916936,4.193989051,-6.555850001,-581.9660094,61.29182092,-418.7209968,-4.17531645,-2.552072777,-164.1552399,-38.1631288,-191.9019462,-1.089048341,-2.75964156,-83.16145457,-47.29356946,359.301199,12952.47385,0,306271,12899.8112211359,3.20851374061156,0.0366476049929287,21.40954928365,17.3190750193979
1,33,2627.01017,12070.78357,35.05241246,106.3232887,-582.3903611,193.4027645,-5465.32046,-17.00178175,-15.66181703,-3365.782574,-38.64643074,-1692.033381,-3.738787357,-8.577072592,-962.2252748,35.88321398,-609.0476093,-1.131667319,-5.677175166,-360.2220297,-32.02268363,-558.7172209,-8.494747343,-6.827933191,-219.6795087,-71.43576596,300.1768031,4912.163155,0,433630,8945.19167799894,3.90149422946994,0.0366476049929287,21.40954928365,17.3190750193979
1,34,2080.954128,15435.50978,40.47623719,145.3899738,2425.715168,192.8699659,-4747.642125,-7.692792317,-13.05593568,-3158.977351,35.36939502,-1029.562979,0.620831046,-6.461053794,-638.9046032,46.3071785,-536.4930732,-2.340832486,-4.30105939,-201.1096739,-14.97156988,-391.2692493,-4.134542505,-4.33067259,-118.039869,-31.17051208,445.7704335,13007.65694,0,286818,17376.0644725918,2.86257221352656,0.0366476049929287,21.40954928365,17.3190750193979
4,1,190.1289842,12132.45858,159.1850419,66.33282788,4741.649516,773.3678907,-3103.718687,-18.95655199,-4.140278258,-2138.879024,-96.53083273,-713.2370849,6.383775352,0.576080521,-770.1216139,-155.6544732,-117.2357536,-1.403931144,-0.745632289,49.92805639,-138.5975118,462.3531585,-8.832255354,3.443031432,162.9310893,-170.9312033,93.67265463,21938.27182,0,112068,1817.74284252499,4.13760015503916,0.0120939875604699,36.3901174844506,22.1592570630595
4,2,670.6590582,10056.76304,159.6158413,61.74940218,2685.465641,669.0634238,-3499.625001,-40.4447543,-1.061250783,-2477.481872,-129.1919926,-568.9442198,-2.982302779,2.030236223,-813.523067,-79.87936502,-419.4299964,1.316720387,-1.804812781,-24.12103967,-108.8491104,322.500945,-10.83755522,1.337970032,105.3465325,-181.4350357,120.271452,11237.90304,0,103569,2616.25123298635,3.70344275582667,0.0120939875604699,36.3901174844506,22.1592570630595
4,3,74.54930917,11964.35033,164.2401669,65.4789879,4862.691695,774.9922258,-2965.408739,-15.864959,-3.635950911,-2191.348107,18.03526351,-672.132196,8.25793768,-0.488581013,-756.5645251,-120.12505,-174.9498455,-1.243264898,-0.676929196,39.87747946,-151.7161071,410.4805583,-9.250736301,2.828079704,145.1010988,-177.0812456,46.96009769,22562.49613,0,132521,780.384871945674,5.14058067168906,0.0120939875604699,36.3901174844506,22.1592570630595
4,4,295.7831443,11912.26749,152.1740655,63.86809556,4558.947627,748.6208049,-3254.834937,-23.2981531,-2.541261052,-2243.608894,-135.5904093,-667.2650284,3.22421438,1.045352478,-813.0560211,-138.559298,-167.6377954,-1.640211112,-0.204356771,57.46526833,-132.9873252,431.422116,-8.262654902,2.60137072,161.6494595,-152.7842332,72.04229345,18782.30684,0,249922,3170.30302017573,4.37992708298203,0.0120939875604699,36.3901174844506,22.1592570630595
